sample,data_in,data_out
371,-9685,1663
372,-9822,554
373,-9921,-555
374,-9980,-1664
375,-9999,-2766
376,-9980,-3857
377,-9921,-4933
378,-9822,-5991
379,-9685,-7023
380,-9510,-8028
381,-9297,-9002
382,-9048,-9940
383,-8763,-10839
384,-8443,-11695
385,-8090,-12504
386,-7705,-13265
387,-7289,-13974
388,-6845,-14627
389,-6374,-15222
390,-5877,-15757
391,-5358,-16230
392,-4817,-16638
393,-4257,-16982
394,-3681,-17258
395,-3090,-17467
396,-2486,-17607
397,-1873,-17675
398,-1253,-17675
399,-627,-17607
400,0,-17467
401,627,-17258
402,1253,-16982
403,1873,-16638
404,2486,-16230
405,3090,-15757
406,3681,-15222
407,4257,-14627
408,4817,-13974
409,5358,-13265
410,5877,-12504
411,6374,-11695
412,6845,-10839
413,7289,-9940
414,7705,-9002
415,8090,-8028
416,8443,-7023
417,8763,-5991
418,9048,-4933
419,9297,-3857
420,9510,-2766
421,9685,-1664
422,9822,-555
423,9921,554
424,9980,1663
425,9999,2765
426,9980,3856
427,9921,4932
428,9822,5990
429,9685,7022
430,9510,8027
431,9297,9001
432,9048,9939
433,8763,10838
434,8443,11694
435,8090,12503
436,7705,13264
437,7289,13973
438,6845,14626
439,6374,15221
440,5877,15756
441,5358,16229
442,4817,16637
443,4257,16981
444,3681,17257
445,3090,17466
446,2486,17606
447,1873,17674
448,1253,17674
449,627,17606
450,0,17466
451,-627,17257
452,-1253,16981
453,-1873,16637
454,-2486,16229
455,-3090,15756
456,-3681,15221
457,-4257,14626
458,-4817,13973
459,-5358,13264
460,-5877,12503
461,-6374,11694
462,-6845,10838
463,-7289,9939
464,-7705,9001
465,-8090,8027
466,-8443,7022
467,-8763,5990
468,-9048,4932
469,-9297,3856
470,-9510,2765
471,-9685,1663
472,-9822,554
473,-9921,-555
474,-9980,-1664
475,-9999,-2766
476,-9980,-3857
477,-9921,-4933
478,-9822,-5991
479,-9685,-7023
480,-9510,-8028
481,-9297,-9002
482,-9048,-9940
483,-8763,-10839
484,-8443,-11695
485,-8090,-12504
486,-7705,-13265
487,-7289,-13974
488,-6845,-14627
489,-6374,-15222
490,-5877,-15757
491,-5358,-16230
492,-4817,-16638
493,-4257,-16982
494,-3681,-17258
495,-3090,-17467
496,-2486,-17607
497,-1873,-17675
498,-1253,-17675
499,-627,-17607
